uM Fluorescein/a.u.,50.00,25,12.5,6.25,3.125,1.5625,0.78125,0.390625,0.1953125,0.09765625,0.048828125
Mean um Fluorescein/a.u.,0.001444408,0.000898545,0.000611838,0.000366236,0.000262335,0.000163313,9.00006E-05,4.60616E-05,2.45283E-05,1.26756E-05,9.53348E-06
Mean of med-high levels:,,0.000460453,,,,,,,,,
